balanced_accuracy_score, average_precision_score, brier_score_loss, f1_score, precision_score,recall_score, jaccard_score, roc_auc_score, adjusted_mutual_info_score, adjusted_rand_score, completeness_score,fowlkes_mallows_score,homogeneity_score, v_measure_score, explained_variance_score, max_error, mean_absolute_error,mean_squared_error, mean_squared_log_error, median_absolute_error, r2_score, algo,train_time,predict_time,eval_time
0.970703923974952,0.956305637694481,0.02912621359223301,0.9695945945945947,0.9728813559322034,0.9663299663299664,0.940983606557377,0.970703923974952,0.8096735848008197,0.8867051713624816,0.8102153574873063,0.9433618273619445,0.8100559256942694,0.8100559100080102,0.8833611294670485,1.0,0.02912621359223301,0.02912621359223301,0.013993777104413633,0.0,0.8833191730387993,KNeighborsClassifier,0.8221192359924316,17.693826913833618`,`0.09826898574829102
0.9542078811741733,0.9124657654082672,0.04692556634304207,0.9465930018416207,0.9311594202898551,0.9625468164794008,0.8986013986013986,0.9542078811741733,0.7253480479542828,0.820786164745263,0.7256721134586802,0.911593217951169,0.7275544664689523,0.7275520251177553,0.8096289894042703,1.0,0.04692556634304207,0.04692556634304207,0.022545529779333075,0.0,0.8087646851691795,KNeighborsClassifier,0.7959210872650146,18.792102575302124`,`0.017286062240600586
0.8737604000336163,0.8121960777441892,0.1262135922330097,0.8673469387755103,0.8614864864864865,0.8732876712328768,0.7657657657657657,0.8737604000336163,0.4516978893449406,0.5581500522976666,0.4523402718438817,0.7792477510994129,0.4525458811226929,0.45254583439330154,0.49378098999915954,1.0,0.1262135922330097,0.1262135922330097,0.0606397007857924,0.0,0.4936129086477854,KNeighborsClassifier,0.7852737903594971,20.571635723114014`,`0.016197919845581055
0.9717314487632509,0.9693948262136979,0.02593192868719611,0.9709090909090909,1.0,0.9434628975265018,0.9434628975265018,0.9717314487632509,0.847094440032638,0.8987894039574803,0.8542792871302934,0.9499575296639556,0.8507697067464405,0.8507624977163923,0.8982670701000826,1.0,0.02593192868719611,0.02593192868719611,0.012459073294475237,0.0,0.8955587059097353,KNeighborsClassifier,0.7723100185394287,20.495188236236572`,`0.018112897872924805
0.9518841252426364,0.93168393298782,0.04700162074554295,0.9490333919156415,0.9642857142857143,0.9342560553633218,0.903010033444816,0.9518841252426365,0.7271133303107918,0.820536310280189,0.7298357186071067,0.9106874350426257,0.7286339117775553,0.728632922282483,0.8120938475820745,1.0,0.04700162074554295,0.04700162074554295,0.022582070346236372,0.0,0.8112393450924129,KNeighborsClassifier,0.7780842781066895,20.929269313812256`,`0.017113685607910156
0.7104219767771169,0.655890346316185,0.28317152103559873,0.6492985971943888,0.801980198019802,0.5454545454545454,0.4807121661721068,0.7104219767771169,0.15137616572535284,0.1867530196865213,0.1669485849170304,0.6170608541603588,0.15949314596816244,0.15932685041157243,-0.03973273755205242,1.0,0.28317152103559873,0.28317152103559873,0.13605061073735475,0.0,-0.1343969287894522,GaussianNB,0.32764744758605957,0.18678927421569824`,`0.018978357315063477
0.8728832549057268,0.773128621905498,0.13268608414239483,0.856140350877193,0.8052805280528053,0.9138576779026217,0.7484662576687117,0.8728832549057268,0.4451883622670556,0.5389416633206682,0.4458377481982403,0.7712860830782876,0.44878693007118053,0.4487771759793427,0.4730945292743046,1.0,0.13268608414239483,0.13268608414239483,0.06374942903121766,0.0,0.45926566151285253,GaussianNB,0.3297300338745117,0.06291937828063965`,`0.01959061622619629
0.8476867804017145,0.7713349468531336,0.15372168284789645,0.8429752066115702,0.8146964856230032,0.8732876712328768,0.7285714285714285,0.8476867804017145,0.38378466979598,0.47879238041790356,0.384505779737757,0.7393909463064811,0.3849031724639052,0.3849029671082215,0.3878792335490375,1.0,0.15372168284789645,0.15372168284789645,0.07385604582884972,0.0,0.38324649130179,GaussianNB,0.3353760242462158,0.06252050399780273`,`0.020162582397460938
0.8767324009225366,0.7854529951588701,0.12965964343598055,0.8709677419354839,0.8011869436201781,0.9540636042402827,0.7714285714285715,0.8767324009225366,0.4808244211802769,0.5478587950131873,0.482032262207191,0.775302333864557,0.48173400296209423,0.4817339106876064,0.5086434904043502,1.0,0.12965964343598055,0.12965964343598055,0.0622953664723762,0.0,0.4777935295486765,GaussianNB,0.3630857467651367,0.06476807594299316`,`0.020294666290283203
0.8358722255042619,0.7557058607790484,0.16531604538087522,0.8288590604026846,0.8045602605863192,0.8546712802768166,0.7077363896848138,0.835872225504262,0.3542058636921778,0.4471594841952109,0.3549627387600661,0.723687717411076,0.35547267106204716,0.35547230478320113,0.33950122373196046,1.0,0.16531604538087522,0.16531604538087522,0.07942659225227965,0.0,0.3360832137733142,GaussianNB,0.3366568088531494,0.0641782283782959`,`0.019473791122436523
0.916328392963907,0.9062947515641214,0.08090614886731391,0.9094202898550724,0.984313725490196,0.8451178451178452,0.8338870431893688,0.916328392963907,0.6289936588867993,0.7020774980722994,0.6429812448690445,0.8532447657384135,0.63616867294933,0.6361325844135263,0.6943893766323672,1.0,0.08090614886731391,0.08090614886731391,0.03887160306781565,0.0,0.6758865917744422,SGDClassifier,1.3170804977416992,0.04098629951477051`,`0.02239990234375
0.9612503601267646,0.9220589493279382,0.040453074433656956,0.9541284403669725,0.935251798561151,0.9737827715355806,0.9122807017543859,0.9612503601267646,0.7565744451958292,0.8444596413970133,0.7568613841489128,0.9232219656610987,0.7591958325941744,0.759192232447691,0.8364330911147391,1.0,0.040453074433656956,0.040453074433656956,0.01943580153390782,0.0,0.8351419699734306,SGDClassifier,1.291764736175537,0.016091585159301758`,`0.02301621437072754
